epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1683.08,0.59888,0.37665,1.00261,0.97634,0.96229,0.98552,0.88991,0.51358,0.26378,0.92546,0.000810363,0.000810363,0.000810363
43,1722.46,0.59203,0.36611,0.99434,0.97665,0.9702,0.98733,0.89388,0.51485,0.26292,0.9197,0.000803031,0.000803031,0.000803031
44,1762.35,0.59224,0.36358,1.00177,0.96165,0.97142,0.98629,0.88963,0.50408,0.26388,0.91923,0.000795698,0.000795698,0.000795698
45,1802.3,0.58961,0.36129,0.99273,0.97859,0.9789,0.99029,0.90328,0.49415,0.24584,0.91652,0.000788366,0.000788366,0.000788366
46,1841.97,0.58873,0.36084,0.99194,0.97273,0.96773,0.98951,0.90337,0.49225,0.25038,0.91286,0.000781033,0.000781033,0.000781033
47,1881.71,0.58708,0.36649,0.99715,0.97469,0.97516,0.98774,0.89721,0.50224,0.24757,0.91868,0.0007737,0.0007737,0.0007737
48,1921.82,0.58356,0.35742,0.99347,0.95547,0.97337,0.98794,0.90107,0.48815,0.24958,0.90549,0.000766368,0.000766368,0.000766368
49,1961.49,0.58116,0.36,0.99392,0.98168,0.97433,0.98922,0.90543,0.48636,0.24881,0.90687,0.000759035,0.000759035,0.000759035
50,2001.71,0.57369,0.34672,0.99132,0.97695,0.9695,0.98605,0.89722,0.50204,0.24743,0.91913,0.000751703,0.000751703,0.000751703
51,2041.82,0.58269,0.35099,0.98704,0.96456,0.98065,0.98746,0.90361,0.48696,0.2453,0.90849,0.00074437,0.00074437,0.00074437
52,2081.2,0.56874,0.34308,0.98819,0.97303,0.97851,0.98954,0.90613,0.48332,0.24294,0.90902,0.000737037,0.000737037,0.000737037
53,2121.88,0.57457,0.35153,0.98438,0.97182,0.97686,0.98869,0.90195,0.49489,0.24536,0.90743,0.000729705,0.000729705,0.000729705
54,2161.81,0.57454,0.34288,0.98574,0.96186,0.97106,0.98916,0.9077,0.48766,0.24509,0.91093,0.000722372,0.000722372,0.000722372
55,2200.9,0.56287,0.33423,0.98403,0.97546,0.97374,0.9863,0.90148,0.48537,0.24467,0.90922,0.00071504,0.00071504,0.00071504
56,2241.09,0.57281,0.34871,0.98643,0.96525,0.97624,0.98588,0.90365,0.48567,0.24736,0.90394,0.000707707,0.000707707,0.000707707
57,2280.76,0.56281,0.33546,0.98161,0.97585,0.97885,0.98492,0.90321,0.48127,0.23929,0.9049,0.000700374,0.000700374,0.000700374
58,2320.59,0.55981,0.33283,0.97618,0.98443,0.97558,0.98784,0.90215,0.49809,0.24386,0.9156,0.000693042,0.000693042,0.000693042
59,2360.69,0.55777,0.33396,0.98377,0.9659,0.97546,0.98476,0.90064,0.47505,0.24236,0.9012,0.000685709,0.000685709,0.000685709
60,2400.31,0.55866,0.33696,0.98202,0.97187,0.97266,0.98741,0.90908,0.47482,0.23607,0.90108,0.000678377,0.000678377,0.000678377
61,2440.01,0.56171,0.33236,0.97931,0.96407,0.97732,0.98789,0.90595,0.48498,0.23586,0.91106,0.000671044,0.000671044,0.000671044
62,2479.64,0.55519,0.33148,0.97951,0.9864,0.96565,0.98918,0.90502,0.47842,0.24048,0.90186,0.000663711,0.000663711,0.000663711
63,2519.82,0.55759,0.32971,0.98478,0.97982,0.96436,0.98804,0.90568,0.48553,0.23802,0.90477,0.000656379,0.000656379,0.000656379
64,2558.88,0.55643,0.32484,0.97929,0.96401,0.98067,0.98934,0.90822,0.47992,0.23292,0.90664,0.000649046,0.000649046,0.000649046
65,2598.84,0.55352,0.32935,0.97921,0.95598,0.97678,0.98841,0.91411,0.47209,0.23667,0.89676,0.000641714,0.000641714,0.000641714
66,2638.81,0.55396,0.33199,0.97766,0.96545,0.98545,0.99114,0.9114,0.47447,0.2325,0.89861,0.000634381,0.000634381,0.000634381
67,2677.8,0.55154,0.32415,0.97572,0.96734,0.97412,0.98772,0.90557,0.48805,0.24242,0.91197,0.000627048,0.000627048,0.000627048
68,2717.64,0.55603,0.32732,0.9743,0.93831,0.99366,0.98918,0.91208,0.47783,0.23898,0.90272,0.000619716,0.000619716,0.000619716
69,2757.49,0.54875,0.32173,0.97154,0.98359,0.96311,0.98675,0.90879,0.47752,0.24106,0.90025,0.000612383,0.000612383,0.000612383
70,2796.41,0.55255,0.32881,0.98186,0.98136,0.96942,0.98765,0.90902,0.4717,0.23626,0.89523,0.000605051,0.000605051,0.000605051
71,2836.08,0.54245,0.32642,0.97632,0.96877,0.96788,0.98585,0.90319,0.47298,0.23522,0.89822,0.000597718,0.000597718,0.000597718
72,2875.71,0.53764,0.3192,0.9732,0.97523,0.97085,0.98781,0.90969,0.47146,0.22795,0.89891,0.000590385,0.000590385,0.000590385
73,2914.54,0.53749,0.31253,0.97207,0.97416,0.97998,0.98958,0.91493,0.46962,0.22415,0.89582,0.000583053,0.000583053,0.000583053
74,2954.37,0.53455,0.31596,0.96918,0.98329,0.96965,0.98861,0.90969,0.47807,0.22611,0.90661,0.00057572,0.00057572,0.00057572
75,2994.38,0.52671,0.30887,0.96209,0.97882,0.97126,0.98881,0.91014,0.47466,0.22783,0.90199,0.000568388,0.000568388,0.000568388
76,3033.77,0.53199,0.30857,0.96816,0.98291,0.97491,0.98722,0.90515,0.47317,0.22865,0.90003,0.000561055,0.000561055,0.000561055
77,3073.27,0.53289,0.31021,0.96808,0.98583,0.97483,0.98917,0.91113,0.46863,0.23209,0.89614,0.000553722,0.000553722,0.000553722
78,3113.26,0.52444,0.29981,0.96796,0.97394,0.97383,0.9892,0.91052,0.46879,0.22521,0.89684,0.00054639,0.00054639,0.00054639
79,3152.58,0.52229,0.30558,0.96461,0.96722,0.97354,0.98728,0.90854,0.47232,0.22913,0.89722,0.000539057,0.000539057,0.000539057
80,3192.1,0.52696,0.29994,0.96614,0.96805,0.96865,0.98922,0.90737,0.47918,0.23087,0.90201,0.000531725,0.000531725,0.000531725
81,3231.88,0.51828,0.30353,0.96539,0.96825,0.97266,0.98928,0.9114,0.46845,0.22825,0.89543,0.000524392,0.000524392,0.000524392
82,3271.09,0.53336,0.3048,0.97292,0.96074,0.97659,0.98967,0.91012,0.47934,0.22588,0.90101,0.000517059,0.000517059,0.000517059
83,3310.85,0.52242,0.30513,0.96156,0.98247,0.97075,0.98902,0.91001,0.47377,0.2239,0.89741,0.000509727,0.000509727,0.000509727
84,3350.4,0.52562,0.30178,0.96577,0.98307,0.97049,0.98837,0.91063,0.47012,0.22498,0.8954,0.000502394,0.000502394,0.000502394
85,3389.42,0.51887,0.29964,0.96081,0.98169,0.9789,0.98996,0.91786,0.45735,0.22319,0.89528,0.000495062,0.000495062,0.000495062
86,3429.44,0.51569,0.29883,0.96301,0.98125,0.977,0.98837,0.91306,0.46485,0.22282,0.89761,0.000487729,0.000487729,0.000487729
