epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2821.17,0.65357,0.44358,1.03831,0.92926,0.94466,0.94098,0.80706,0.50536,0.27277,0.93472,0.007228,0.007228,0.007228
44,2886.44,0.65198,0.44072,1.04009,0.93422,0.94162,0.94182,0.8139,0.50433,0.28112,0.93177,0.007162,0.007162,0.007162
45,2951.39,0.6471,0.43718,1.03328,0.92898,0.94854,0.9476,0.81623,0.49698,0.26844,0.93026,0.007096,0.007096,0.007096
46,3016.47,0.65241,0.44217,1.03698,0.9339,0.94246,0.9454,0.81883,0.49479,0.26612,0.92913,0.00703,0.00703,0.00703
47,3081.47,0.64586,0.42732,1.03465,0.93608,0.94339,0.94947,0.81725,0.49604,0.27053,0.93018,0.006964,0.006964,0.006964
48,3146.53,0.64384,0.43022,1.03237,0.93049,0.95501,0.94702,0.8222,0.49295,0.26772,0.92768,0.006898,0.006898,0.006898
49,3211.38,0.64489,0.43207,1.03512,0.93398,0.94745,0.94501,0.82012,0.48486,0.26092,0.92511,0.006832,0.006832,0.006832
50,3276.64,0.63935,0.42571,1.02971,0.93193,0.94744,0.94598,0.81703,0.48565,0.25833,0.92007,0.006766,0.006766,0.006766
51,3341.79,0.64514,0.42823,1.03187,0.93107,0.95874,0.9474,0.82918,0.48569,0.26241,0.92518,0.0067,0.0067,0.0067
52,3406.67,0.64201,0.42522,1.0315,0.93577,0.94436,0.94865,0.82377,0.482,0.26167,0.92194,0.006634,0.006634,0.006634
53,3471.54,0.63478,0.41835,1.02761,0.92951,0.94407,0.95101,0.83512,0.48319,0.26017,0.9194,0.006568,0.006568,0.006568
54,3536.47,0.63149,0.42338,1.02541,0.94003,0.94019,0.94365,0.82808,0.47475,0.25912,0.9153,0.006502,0.006502,0.006502
55,3601.48,0.62936,0.41722,1.02151,0.92597,0.94854,0.94599,0.82852,0.47875,0.25589,0.915,0.006436,0.006436,0.006436
56,3666.45,0.63327,0.41141,1.02622,0.93296,0.95589,0.94779,0.82962,0.47637,0.2531,0.91585,0.00637,0.00637,0.00637
57,3731.45,0.63263,0.41982,1.02428,0.92639,0.95976,0.948,0.83076,0.47277,0.24926,0.91267,0.006304,0.006304,0.006304
58,3796.34,0.63215,0.41268,1.02453,0.93361,0.94292,0.94828,0.83197,0.47098,0.25232,0.91258,0.006238,0.006238,0.006238
59,3861.65,0.6331,0.41362,1.02679,0.92944,0.95782,0.94695,0.82726,0.47622,0.25294,0.91696,0.006172,0.006172,0.006172
60,3926.56,0.62853,0.4103,1.02191,0.9523,0.95352,0.94957,0.83523,0.46777,0.24573,0.91053,0.006106,0.006106,0.006106
61,3991.55,0.62207,0.41012,1.02295,0.94122,0.93866,0.94858,0.83624,0.46083,0.24773,0.90739,0.00604,0.00604,0.00604
62,4056.73,0.61381,0.40386,1.01549,0.93264,0.95363,0.95201,0.84085,0.46058,0.24765,0.90514,0.005974,0.005974,0.005974
63,4122.29,0.61991,0.39959,1.01914,0.93778,0.94815,0.94924,0.84042,0.45749,0.24373,0.90241,0.005908,0.005908,0.005908
64,4187.51,0.61821,0.40633,1.01503,0.96213,0.92654,0.953,0.84681,0.45373,0.23768,0.89963,0.005842,0.005842,0.005842
65,4252.79,0.61573,0.40634,1.01321,0.92678,0.94747,0.9452,0.83922,0.45724,0.24118,0.90333,0.005776,0.005776,0.005776
66,4317.77,0.62096,0.40111,1.01682,0.9315,0.94957,0.95086,0.84454,0.463,0.24284,0.90427,0.00571,0.00571,0.00571
67,4382.73,0.61041,0.40128,1.0114,0.93641,0.94966,0.94672,0.8423,0.45062,0.24043,0.8947,0.005644,0.005644,0.005644
68,4447.7,0.61602,0.3982,1.01244,0.93826,0.95054,0.94999,0.84489,0.45043,0.23622,0.89712,0.005578,0.005578,0.005578
69,4512.29,0.61329,0.39816,1.01319,0.9322,0.95839,0.95051,0.84522,0.44838,0.2357,0.89584,0.005512,0.005512,0.005512
70,4577.26,0.60615,0.38997,1.00878,0.92951,0.95589,0.95475,0.84904,0.44825,0.23571,0.89545,0.005446,0.005446,0.005446
71,4642.5,0.60662,0.3909,1.00996,0.94667,0.93129,0.95046,0.84896,0.44565,0.23562,0.89157,0.00538,0.00538,0.00538
72,4707.66,0.5999,0.39223,1.00415,0.93044,0.95289,0.94913,0.8486,0.43885,0.23668,0.88787,0.005314,0.005314,0.005314
73,4772.71,0.60499,0.3898,1.00914,0.93769,0.94115,0.94646,0.84642,0.44214,0.2354,0.89053,0.005248,0.005248,0.005248
74,4837.3,0.60294,0.39186,1.00692,0.93604,0.94115,0.94709,0.84832,0.439,0.23451,0.88773,0.005182,0.005182,0.005182
75,4902.32,0.60295,0.39197,1.00914,0.94263,0.94536,0.95031,0.85106,0.43558,0.23252,0.88616,0.005116,0.005116,0.005116
76,4967.1,0.59408,0.38109,1.00209,0.9403,0.94392,0.94804,0.84961,0.44032,0.23082,0.88827,0.00505,0.00505,0.00505
77,5031.95,0.59726,0.3808,1.00599,0.93676,0.94633,0.94625,0.84753,0.44069,0.23179,0.88928,0.004984,0.004984,0.004984
78,5096.7,0.59521,0.3807,1.00666,0.92923,0.95671,0.95409,0.85592,0.43487,0.22849,0.88768,0.004918,0.004918,0.004918
79,5161.42,0.59654,0.38479,1.00733,0.92601,0.95686,0.94948,0.85366,0.43343,0.22837,0.88672,0.004852,0.004852,0.004852
80,5226.7,0.58982,0.37956,1.00199,0.92031,0.96528,0.9477,0.85486,0.43199,0.22906,0.88526,0.004786,0.004786,0.004786
81,5291.8,0.59024,0.38003,1.002,0.91371,0.95265,0.94813,0.85441,0.42845,0.2259,0.88401,0.00472,0.00472,0.00472
82,5356.68,0.59437,0.3784,1.00324,0.92468,0.95475,0.95058,0.85737,0.42837,0.22582,0.8835,0.004654,0.004654,0.004654
83,5421.55,0.58817,0.37418,1.00244,0.92826,0.95896,0.95439,0.8614,0.42601,0.22278,0.88262,0.004588,0.004588,0.004588
84,5486.52,0.58748,0.38029,1.00277,0.94641,0.93198,0.95297,0.8589,0.42849,0.22426,0.88203,0.004522,0.004522,0.004522
85,5550.94,0.58141,0.37542,0.99902,0.923,0.95896,0.95322,0.8594,0.42752,0.2229,0.88089,0.004456,0.004456,0.004456
86,5616.25,0.5815,0.3692,0.99389,0.92823,0.948,0.95523,0.86219,0.42398,0.22348,0.87894,0.00439,0.00439,0.00439
87,5681.26,0.57373,0.36723,0.99277,0.93185,0.95265,0.95422,0.86179,0.42191,0.22072,0.87753,0.004324,0.004324,0.004324
88,5746.32,0.57865,0.37063,0.99567,0.92831,0.95686,0.95559,0.86524,0.42078,0.21863,0.87802,0.004258,0.004258,0.004258
89,5811.18,0.57172,0.36306,0.99451,0.93313,0.95896,0.95398,0.86384,0.4194,0.21758,0.87739,0.004192,0.004192,0.004192
90,5875.93,0.57844,0.36439,0.99537,0.9296,0.9628,0.95521,0.86575,0.41658,0.21611,0.87709,0.004126,0.004126,0.004126
91,5940.87,0.5789,0.36651,0.99347,0.92414,0.95451,0.95576,0.86531,0.41759,0.21703,0.87844,0.00406,0.00406,0.00406
92,6005.69,0.57882,0.36682,0.99848,0.94677,0.94002,0.95554,0.8642,0.41436,0.21697,0.8761,0.003994,0.003994,0.003994
93,6070.39,0.57049,0.36728,0.993,0.94778,0.93581,0.95417,0.86445,0.41372,0.21747,0.87559,0.003928,0.003928,0.003928
94,6135.29,0.57325,0.36665,0.99531,0.93073,0.95449,0.95445,0.86573,0.41315,0.21554,0.87408,0.003862,0.003862,0.003862
95,6200.26,0.57268,0.36211,0.99153,0.92478,0.9716,0.95677,0.86769,0.41251,0.2147,0.87399,0.003796,0.003796,0.003796
96,6265.12,0.57182,0.36442,0.99049,0.92241,0.96078,0.95625,0.87194,0.40856,0.21332,0.87046,0.00373,0.00373,0.00373
97,6329.99,0.56534,0.35444,0.99005,0.91719,0.96949,0.95757,0.87104,0.40706,0.21218,0.86985,0.003664,0.003664,0.003664
98,6395.4,0.56237,0.35275,0.98704,0.91872,0.9737,0.95791,0.87203,0.40804,0.21068,0.87012,0.003598,0.003598,0.003598
99,6460.3,0.56319,0.35113,0.98978,0.92467,0.96181,0.958,0.87085,0.40674,0.21162,0.86926,0.003532,0.003532,0.003532
100,6525.2,0.55671,0.35401,0.98382,0.92072,0.96756,0.9575,0.87158,0.40573,0.20877,0.86832,0.003466,0.003466,0.003466
101,6590.21,0.55951,0.35557,0.98598,0.91972,0.96107,0.95739,0.87204,0.40408,0.20821,0.86741,0.0034,0.0034,0.0034
102,6655.23,0.56237,0.35194,0.98628,0.91956,0.96517,0.95733,0.87265,0.40074,0.20783,0.86589,0.003334,0.003334,0.003334
103,6720.36,0.55752,0.35001,0.98704,0.91425,0.97931,0.95738,0.87323,0.40122,0.20716,0.86585,0.003268,0.003268,0.003268
104,6785.26,0.55461,0.34507,0.98223,0.91884,0.97581,0.95816,0.87378,0.3986,0.20632,0.86445,0.003202,0.003202,0.003202
105,6850.27,0.55512,0.34569,0.98619,0.92642,0.9737,0.95929,0.874,0.39888,0.20542,0.8644,0.003136,0.003136,0.003136
106,6914.86,0.55124,0.34615,0.98058,0.92574,0.9716,0.95964,0.87525,0.39753,0.20505,0.86383,0.00307,0.00307,0.00307
107,6979.42,0.55281,0.34721,0.98494,0.92592,0.97459,0.95975,0.87618,0.3961,0.20552,0.86344,0.003004,0.003004,0.003004
108,7044.73,0.54459,0.3423,0.9821,0.92383,0.98212,0.95919,0.87783,0.39474,0.20493,0.86251,0.002938,0.002938,0.002938
109,7109.87,0.55728,0.34671,0.9858,0.9238,0.98095,0.95862,0.87767,0.39353,0.20345,0.86213,0.002872,0.002872,0.002872
110,7174.79,0.5455,0.34243,0.98053,0.92232,0.97791,0.9591,0.87622,0.39277,0.20343,0.86218,0.002806,0.002806,0.002806
111,7239.26,0.54284,0.33556,0.97733,0.92542,0.97782,0.95952,0.87732,0.39157,0.20158,0.86124,0.00274,0.00274,0.00274
112,7304.1,0.53917,0.33767,0.97503,0.92246,0.97174,0.95918,0.87767,0.39031,0.20173,0.86052,0.002674,0.002674,0.002674
113,7368.62,0.53929,0.33835,0.97588,0.92173,0.96949,0.95944,0.87927,0.38825,0.20156,0.85908,0.002608,0.002608,0.002608
114,7433.57,0.54275,0.3375,0.97777,0.9312,0.96528,0.95994,0.8814,0.38699,0.20092,0.85819,0.002542,0.002542,0.002542
115,7498.54,0.54213,0.33643,0.97666,0.92796,0.96949,0.96075,0.88049,0.38577,0.20062,0.85785,0.002476,0.002476,0.002476
116,7563.45,0.53858,0.33452,0.97488,0.92582,0.9737,0.9616,0.88163,0.3842,0.20064,0.85734,0.00241,0.00241,0.00241
117,7628.36,0.53738,0.33323,0.97663,0.92798,0.9737,0.96152,0.88352,0.38319,0.20034,0.85686,0.002344,0.002344,0.002344
118,7693.64,0.53358,0.33586,0.97511,0.92652,0.9737,0.96104,0.88348,0.38245,0.19999,0.85622,0.002278,0.002278,0.002278
119,7758.49,0.53668,0.34201,0.97655,0.92665,0.9716,0.96114,0.8837,0.38174,0.19868,0.85548,0.002212,0.002212,0.002212
120,7823.62,0.53321,0.32778,0.97436,0.92704,0.9737,0.96101,0.88361,0.38078,0.19849,0.85454,0.002146,0.002146,0.002146
121,7888.63,0.52768,0.32805,0.97181,0.92659,0.97431,0.96123,0.88404,0.37891,0.1973,0.85384,0.00208,0.00208,0.00208
122,7954.11,0.53008,0.32967,0.97311,0.93066,0.97581,0.96146,0.88457,0.37772,0.19713,0.85306,0.002014,0.002014,0.002014
123,8018.89,0.5294,0.32399,0.97414,0.93429,0.97581,0.96121,0.88536,0.37709,0.19666,0.8527,0.001948,0.001948,0.001948
124,8083.68,0.52366,0.32415,0.9698,0.93263,0.98059,0.96083,0.88621,0.37595,0.19652,0.85198,0.001882,0.001882,0.001882
125,8148.4,0.51837,0.31926,0.96782,0.93222,0.97877,0.96138,0.88665,0.3755,0.19563,0.85158,0.001816,0.001816,0.001816
126,8213.22,0.51869,0.31725,0.96757,0.93362,0.97985,0.96195,0.88742,0.37439,0.19506,0.85094,0.00175,0.00175,0.00175
127,8278.04,0.51815,0.32326,0.96564,0.93224,0.9783,0.962,0.88812,0.37304,0.19339,0.85044,0.001684,0.001684,0.001684
128,8342.56,0.51374,0.3191,0.96602,0.93247,0.98002,0.96188,0.88784,0.37139,0.19337,0.84953,0.001618,0.001618,0.001618
129,8407.49,0.50546,0.31512,0.96237,0.93069,0.97791,0.96205,0.88807,0.37016,0.19238,0.84893,0.001552,0.001552,0.001552
130,8472.33,0.51298,0.31232,0.96589,0.93441,0.97679,0.96235,0.88907,0.36896,0.19216,0.84836,0.001486,0.001486,0.001486
131,8537.31,0.51156,0.31593,0.96425,0.93658,0.97581,0.96223,0.88826,0.3679,0.1921,0.84778,0.00142,0.00142,0.00142
132,8602.41,0.51235,0.31696,0.96373,0.9373,0.97282,0.96221,0.88967,0.36699,0.1918,0.84711,0.001354,0.001354,0.001354
133,8667.48,0.50829,0.31552,0.96318,0.93914,0.9716,0.96256,0.89037,0.36595,0.19066,0.84655,0.001288,0.001288,0.001288
134,8732.8,0.50253,0.31062,0.96355,0.93967,0.9716,0.96295,0.89081,0.3649,0.18988,0.84594,0.001222,0.001222,0.001222
135,8797.99,0.50671,0.31429,0.96049,0.93893,0.96841,0.9632,0.89141,0.36334,0.19048,0.84527,0.001156,0.001156,0.001156
136,8863.04,0.50647,0.30861,0.96309,0.93826,0.96949,0.96323,0.89213,0.36224,0.19009,0.84471,0.00109,0.00109,0.00109
137,8928.01,0.50288,0.30716,0.95951,0.93822,0.97054,0.96318,0.89154,0.36147,0.18986,0.84425,0.001024,0.001024,0.001024
138,8993.1,0.49683,0.3016,0.95495,0.93857,0.97193,0.96363,0.89284,0.3606,0.18894,0.84375,0.000958,0.000958,0.000958
139,9057.96,0.49857,0.30587,0.95788,0.93872,0.97256,0.96406,0.89343,0.35986,0.18879,0.84326,0.000892,0.000892,0.000892
140,9122.97,0.48924,0.30078,0.95466,0.93988,0.97227,0.96431,0.89443,0.35883,0.1881,0.84268,0.000826,0.000826,0.000826
141,9187.53,0.4127,0.22627,0.90535,0.94077,0.97133,0.96445,0.8948,0.35822,0.18844,0.84223,0.00076,0.00076,0.00076
142,9250.96,0.40703,0.21796,0.90201,0.93964,0.96949,0.96463,0.89607,0.35742,0.18761,0.84183,0.000694,0.000694,0.000694
143,9314.32,0.40177,0.21642,0.8972,0.93943,0.9716,0.96441,0.89626,0.35677,0.18705,0.8413,0.000628,0.000628,0.000628
144,9377.34,0.39895,0.21425,0.89919,0.93612,0.97904,0.96495,0.89661,0.35574,0.18638,0.84078,0.000562,0.000562,0.000562
145,9440.24,0.39823,0.21152,0.90012,0.93611,0.97898,0.96531,0.89716,0.35497,0.18649,0.84035,0.000496,0.000496,0.000496
146,9503.26,0.39774,0.20998,0.8984,0.93769,0.98604,0.96548,0.89722,0.3542,0.18567,0.83998,0.00043,0.00043,0.00043
147,9566.57,0.39408,0.20951,0.89443,0.93848,0.98633,0.96563,0.89768,0.35375,0.1851,0.83976,0.000364,0.000364,0.000364
148,9630.08,0.38892,0.20723,0.89062,0.93896,0.98633,0.96581,0.89819,0.35305,0.18463,0.83934,0.000298,0.000298,0.000298
149,9693.69,0.38724,0.20639,0.89081,0.93985,0.98401,0.96601,0.89825,0.35231,0.18462,0.83882,0.000232,0.000232,0.000232
150,9756.7,0.38596,0.20401,0.89374,0.93966,0.98212,0.96618,0.89938,0.35156,0.18382,0.83835,0.000166,0.000166,0.000166
